Generation,Best_Fitness,Average_Fitness,Worst_Fitness
152,42763385.0,42223499.8725,41587755.0
153,42763385.0,42264893.1075,41632145.0
154,42767585.0,42369524.65125,41622245.0
155,42767585.0,42567926.51375,42196438.75
156,42775008.125,42704257.47,42225790.0
157,42775008.125,42751023.89,42310429.0
158,42782680.0,42758885.6075,42364385.0
159,42793543.125,42758050.015,42039615.0
160,42796875.0,42768559.67875,42178276.875
161,42811743.125,42778241.04,42438995.0
162,42821383.125,42782729.3775,41937199.125
163,42828633.125,42794084.09875,42384053.125
164,42831183.125,42802289.19,42359283.125
165,42833633.125,42814755.69375,42560383.125
166,42837353.125,42803740.9925,42094153.125
167,42839103.125,42824305.27375,42490393.125
168,42839103.125,42828878.7775,42611910.625
169,42839333.125,42835726.1875,42794164.375
170,42839333.125,42816204.09375,42100133.125
171,42839333.125,42827230.5125,42344685.625
172,42839333.125,42828749.0425,42503333.125
173,42841963.625,42830249.11,42401439.375
174,42861033.125,42828068.47375,42375990.625
175,42865644.125,42829030.4175,41861838.125
176,42866170.625,42838751.8575,42331413.125
177,42877761.875,42846200.06,42538081.875
178,42883845.875,42858833.56375,42739345.625
179,42890501.875,42869037.0325,42809226.0
180,42890501.875,42866389.32125,42229261.875
181,42895916.875,42867093.2375,42283872.875
182,42898445.875,42879150.08375,42396941.875
183,42902000.875,42884109.98,42613870.875
184,42902000.875,42890385.49125,42709391.875
185,42907946.125,42876594.9325,42047516.875
186,42924000.875,42896308.705,42726040.875
187,42924000.875,42900659.05125,42847688.375
188,42934250.875,42901310.2475,42394080.875
189,42940196.125,42913450.77375,42762451.125
190,42964261.125,42923432.54625,42855150.875
191,42964261.125,42927145.68625,42773175.875
192,42974721.125,42931334.36625,42678650.875
193,42976060.125,42942027.54375,42810113.375
194,42996341.125,42957663.47375,42787161.125
195,43007051.125,42967900.805,42713721.125
196,43007051.125,42978590.1925,42894106.125
197,43008140.125,42984589.7225,42801198.625
198,43070878.625,42986455.815,42603851.125
199,43230758.625,43008415.55125,42925748.625
