Generation,Best_Fitness
0,31743534.87534235
1,31782955.24910492
2,31782955.24910492
3,32295067.06611451
4,32594535.32112101
5,33508690.86468777
6,33817610.98479227
7,33940252.46128129
8,34524340.74320568
9,34524340.74320568
10,34895239.85583558
11,35211770.822996266
12,35211770.822996266
13,35373223.5239208
14,35373223.5239208
15,35476917.42178151
16,35524821.77948046
17,35560235.49800382
18,35565498.04322193
19,35630688.57636396
20,35740366.47469415
21,35740366.47469415
22,35767261.31894285
23,35805973.18696253
24,35993768.400243595
25,36050872.12683515
26,36061332.31829052
27,36473982.711279884
28,36928554.60340292
29,36928554.60340292
30,37205648.51266684
31,37464407.08081229
32,37464407.08081229
33,37464407.08081229
34,37500692.585537724
35,37600990.84426327
36,37641598.5657733
37,37673200.85801089
38,37729708.76460562
39,37763039.718983755
40,38005977.98927214
41,38005977.98927214
42,38098050.34689005
43,38162335.841058075
44,38242512.63269263
45,38327466.57546203
46,38362923.42180302
47,38373353.28588879
48,38448825.10088977
49,38451286.63583462
50,38451286.63583462
51,38480095.41819869
52,38650159.858545914
53,38941036.33990592
54,38941036.33990592
55,39073121.68566257
56,39564542.64135459
57,39564542.64135459
58,39714960.85201941
59,39714960.85201941
60,39753779.01435272
61,39767957.44521928
62,39825909.45443428
63,39861368.24476145
64,39904638.27974535
65,40001781.27623594
66,40039224.53362337
67,40054195.02435304
68,40071097.12352027
69,40071097.12352027
70,40079207.94630495
71,40095083.25408162
72,40335999.771080814
73,40335999.771080814
74,40361111.45833432
75,40390823.13466982
76,40393613.5113863
77,40580882.40777852
78,40659922.79834263
79,40843859.6971569
80,40936690.48587021
81,40977400.795847446
82,41064343.325481825
83,41076305.56432191
84,41108950.37265403
85,41273876.903314136
86,41314886.65742551
87,41630323.992222585
88,41643592.297446355
89,41661490.652060226
90,41661490.652060226
91,41674756.20049771
92,41709550.535650395
93,41736451.74401777
94,41788442.31365818
95,41803301.72092136
96,41835777.19637811
97,41835777.19637811
98,41850566.37834525
99,41854900.89494816
100,41859780.67371963
101,41884811.932024755
102,41898644.23734848
103,42272602.44257943
104,42347731.50387743
105,42397078.735519975
106,42572802.4195128
107,42572802.4195128
108,42620247.21182422
109,42660767.56711175
110,42752067.70778736
111,42752067.70778736
112,42785446.971942976
113,42880141.41795818
114,42880141.41795818
115,42904561.60431256
116,42904561.60431256
117,42904693.85777812
118,42905736.127450235
119,42920241.50852791
120,42920241.50852791
121,42937702.49528809
122,42950753.769372314
123,42993661.027570546
124,43043304.27881945
125,43045104.21735098
126,43092944.563473985
127,43092944.563473985
128,43106319.84010697
129,43564039.824776
130,43745089.34100842
131,43785824.208551005
132,43787660.12277653
133,43814643.85560581
134,43865259.181633644
135,43903210.36484856
136,43903210.36484856
137,43926078.767897025
138,43958626.02590588
139,43973202.312643796
140,43977686.58521223
141,43989048.994846694
142,43992548.94428773
143,43993533.8308866
144,44020424.34663971
145,44031115.17900394
146,44040647.66402013
147,44040647.66402013
148,44040911.942652
149,44043924.88543703
150,44045313.390103206
151,44045313.390103206
152,44176073.75381801
153,44176073.75381801
154,44225452.38997745
155,44232262.95345358
156,44258824.17875796
157,44304982.916721754
158,44306190.73949206
159,44310927.719385214
160,44321516.67290598
161,44343155.54981033
162,44361420.06764219
163,44368946.0429803
164,44387878.75709326
165,44387878.75709326
166,44393841.34671751
167,44396693.55146603
168,44396693.55146603
169,44396693.55146603
170,44398035.08246057
171,44419121.25002253
172,44419121.25002253
173,44437869.95412107
174,44437869.95412107
175,44463351.70901787
176,44463351.70901787
177,44469008.1089417
178,44784243.324752636
179,44938775.69618957
180,44999054.222360924
181,44999054.222360924
182,45005476.89699558
183,45030695.409329295
184,45030695.409329295
185,45048314.73805953
186,45048314.73805953
187,45055532.97191095
188,45063969.692687236
189,45090265.568374954
190,45090879.19748092
191,45090879.19748092
192,45100158.08129895
193,45100158.08129895
194,45100158.08129895
195,45100158.08129895
196,45124373.33707578
197,45124373.33707578
198,45124373.33707578
199,45143701.50370688
