Generation,Best_Fitness
0,23548429.864648987
1,24059725.741911907
2,24357165.01788268
3,24599844.699762255
4,25072724.995940153
5,25672796.064091496
6,25774354.85096437
7,26156638.320672926
8,26546912.83909422
9,26582397.063828856
10,26791781.510739595
11,27005230.287741013
12,27130063.872565936
13,27130063.872565936
14,27197048.267340805
15,27222944.927325215
16,27228335.769088164
17,27315808.258164633
18,27315808.258164633
19,27338689.994947974
20,27350450.034710936
21,27350450.034710936
22,27363583.87994651
23,27421106.38802647
24,27432882.79240991
25,27432882.79240991
26,27451775.17719122
27,27928501.766032588
28,28163688.749888428
29,28366361.97665478
30,28483587.78935353
31,28527246.896662686
32,28616289.54469194
33,28687168.07027108
34,28740402.451633155
35,28759333.793148316
36,28774357.193497952
37,28789116.455838785
38,28813826.16975036
39,28996544.887329936
40,29161863.902298916
41,29161863.902298916
42,29176608.35171985
43,29229142.75299801
44,29313761.316641606
45,29505824.489938166
46,29547803.09710902
47,29547803.09710902
48,29580416.84668352
49,29588652.226222754
50,29639197.95934562
51,29699898.881346785
52,29998591.2040313
53,30068871.804746173
54,30363205.20220962
55,30534758.575415086
56,30534758.575415086
57,30608632.83142339
58,30608632.83142339
59,30608632.83142339
60,30629180.065759227
61,30629985.514681
62,30648334.261346295
63,30682245.704570435
64,30682245.704570435
65,30719514.893604647
66,30737681.19209751
67,30737863.743662912
68,30772568.97142025
69,30777847.312766355
70,30778535.99907264
71,30810460.16538706
72,30846645.30401857
73,30846645.30401857
74,30883604.69551289
75,30883604.69551289
76,30893262.12633227
77,30978074.136970982
78,31283512.35514472
79,31335048.19479543
80,31335048.19479543
81,31356034.69727248
82,31356034.69727248
83,31376091.713873718
84,31413139.159143507
85,31450048.084389742
86,31458475.967800148
87,31471961.8269726
88,31482830.92287798
89,31492076.867971867
90,31500238.9493245
91,31505409.90385369
92,31515642.008215275
93,31525472.62045868
94,31525472.62045868
95,31568310.75722043
96,31865070.668892387
97,31865070.668892387
98,31890866.64520826
99,31976049.050536554
100,31995243.501388673
101,31995243.501388673
102,32000916.970443737
103,32033328.404777188
104,32147985.802829444
105,32271445.870839532
106,32271445.870839532
107,32271721.843510516
108,32309332.8966202
109,32335524.763473287
110,32335524.763473287
111,32344413.891037386
112,32344413.891037386
113,32354161.49409759
114,32355630.400373522
115,32362760.738836303
116,32364229.861436747
117,32422711.31207438
118,32431310.76929703
119,32446662.07388243
120,32446662.07388243
121,32446662.07388243
122,32448265.509092063
123,32465003.40835012
124,32476686.01671277
125,32490407.958786063
126,32490407.958786063
127,32537462.578807775
128,32781942.357081555
129,32781942.357081555
130,32825203.28971854
131,32882889.85698846
132,32902511.745707728
133,32955237.635135375
134,32962172.904910557
135,32985593.62397553
136,32990210.97787561
137,33001212.5587388
138,33012302.733088408
139,33021797.68622966
140,33027810.49831963
141,33027810.49831963
142,33027810.49831963
143,33042610.590303246
144,33044043.965079598
145,33045703.811695337
146,33061971.27942749
147,33064049.562910106
148,33064301.016608275
149,33066545.93127667
150,33070807.73721123
151,33076990.19799988
152,33587480.23213376
153,33603271.34957505
154,33679365.336617194
155,33709412.89286285
156,33709412.89286285
157,33709412.89286285
158,33712613.17717139
159,33712613.17717139
160,33712613.17717139
161,33713356.059215896
162,33713356.059215896
163,33715605.71118709
164,33742746.66002673
165,33742844.73899117
166,33742844.73899117
167,33745095.58825864
168,33745095.58825864
169,33745095.58825864
170,33747126.49688554
171,33748185.56656534
172,33748185.56656534
173,33748185.56656534
174,33766071.44468951
175,33766071.44468951
176,33766071.44468951
177,33881245.78192098
178,33961494.89509952
179,34071347.41472811
180,34165610.651379116
181,34165610.651379116
182,34178828.53654153
183,34219740.62425087
184,34232965.64797298
185,34258184.205928415
186,34276171.2001148
187,34280625.07144891
188,34311476.355136976
189,34317711.505354196
190,34392829.79757754
191,34392829.79757754
192,34432119.88694928
193,34451246.55971
194,34462221.65241568
195,34482873.52068037
196,34482873.52068037
197,34490216.389633864
198,34490216.389633864
199,34510337.63631627
