Generation,Best_Fitness
0,16998162.5916759
1,17550290.36363457
2,18106842.2224079
3,18106842.2224079
4,18107732.57404476
5,18262576.944973756
6,18434618.620303635
7,18456530.657346014
8,18888009.976520922
9,18930182.016385272
10,18930182.016385272
11,19007634.277639244
12,19080808.688375436
13,19154711.28739165
14,19214793.537937757
15,19306437.889363937
16,19306437.889363937
17,19310714.706875376
18,19384173.615573168
19,19423155.981500052
20,19423155.981500052
21,19432310.302423336
22,19441221.180255435
23,19570681.56871065
24,19583874.650515538
25,19618220.386604063
26,19646414.296455767
27,19687620.146640126
28,19867159.45644421
29,19928981.81367765
30,20035925.994313505
31,20035925.994313505
32,20035925.994313505
33,20089327.5021188
34,20117889.471151233
35,20147605.73180883
36,20147605.73180883
37,20167653.67957335
38,20167653.67957335
39,20210682.97501761
40,20218955.07860671
41,20261996.396221347
42,20290283.25267919
43,20290283.25267919
44,20312612.42612656
45,20345808.629480507
46,20353614.883893702
47,20456460.848719563
48,20506385.88258292
49,20514374.760103457
50,20538520.315634064
51,20561222.290237326
52,20608684.858671125
53,20615462.706123207
54,20782174.92998562
55,20948999.283549152
56,20948999.283549152
57,20975748.353189565
58,21058332.35301469
59,21058332.35301469
60,21058332.35301469
61,21111149.51983063
62,21111149.51983063
63,21111149.51983063
64,21127126.629418932
65,21132799.81554508
66,21184472.97594591
67,21216126.714286964
68,21252407.236397244
69,21252407.236397244
70,21424327.66450418
71,21424327.66450418
72,21446878.64921396
73,21472884.328427456
74,21472884.328427456
75,21517907.971584655
76,21543165.57017254
77,21551039.70286983
78,21652125.576892354
79,21799667.903639145
80,21832013.606528338
81,21881948.678579766
82,21881948.678579766
83,21924536.708146334
84,21949356.496219818
85,21971154.86146942
86,21984689.327196583
87,21993964.106206663
88,21995606.796149217
89,22014884.895399325
90,22019058.148977913
91,22019058.148977913
92,22019514.729466792
93,22034917.804915912
94,22039096.390495226
95,22057450.099485926
96,22057450.099485926
97,22057450.099485926
98,22060277.130373117
99,22060277.130373117
100,22071382.815743674
101,22073834.48130973
102,22407367.47553669
103,22446584.919001177
104,22484550.103026196
105,22484550.103026196
106,22513653.681524657
107,22535974.282487724
108,22560117.811223242
109,22796059.312853836
110,22796059.312853836
111,22797579.292405326
112,22866459.884994566
113,22869603.196685668
114,22879777.348362964
115,22916284.287716523
116,22916284.287716523
117,22916284.287716523
118,22942843.935331594
119,22954191.10556973
120,22972941.966563478
121,22982711.352101624
122,22992117.354127206
123,22992117.354127206
124,22992117.354127206
125,22994243.27876566
126,23004316.43789777
127,23166470.265271965
128,23176519.361039236
129,23214440.735334184
130,23274336.228844896
131,23274336.228844896
132,23399372.28424866
133,23434618.958963256
134,23444949.75161801
135,23516125.172395665
136,23516125.172395665
137,23538626.478111744
138,23544100.013026245
139,23564642.468851488
140,23564642.468851488
141,23578756.49837133
142,23578756.49837133
143,23587577.74431103
144,23598787.307485975
145,23606668.894952446
146,23613578.176160697
147,23622113.002135526
148,23629092.968962453
149,23636975.87730592
150,23641475.648199342
151,23650271.504181024
152,23764809.69141658
153,23805997.0123817
154,23854826.067507718
155,23854826.067507718
156,23895747.20706754
157,23964498.775358226
158,23964498.775358226
159,23981249.23148309
160,23981249.23148309
161,24005867.283882607
162,24022736.739183243
163,24023862.492854003
164,24039990.228182863
165,24041146.989191018
166,24041146.989191018
167,24045686.42575007
168,24045686.42575007
169,24048201.814777184
170,24048201.814777184
171,24049372.479881186
172,24054205.915338907
173,24054991.795646816
174,24059032.94293409
175,24059032.94293409
176,24059032.94293409
177,24067168.644909877
178,24071946.882832903
179,24121337.104755364
180,24131307.2430831
181,24154776.87377934
182,24164880.222311422
183,24179775.304406624
184,24181056.469303694
185,24181056.469303694
186,24184618.09733703
187,24193150.836702928
188,24193150.836702928
189,24204501.961251263
190,24206812.33210467
191,24213525.608011715
192,24222057.778442457
193,24222057.778442457
194,24225296.624565914
195,24232569.398347177
196,24232569.398347177
197,24240956.62428756
198,24246272.7722031
199,24250198.189037953
