Generation,Best_Fitness
0,10235965.981058195
1,10245856.556822395
2,10619547.251680046
3,10619547.251680046
4,10619547.251680046
5,10770361.373371571
6,10854366.13348995
7,10973854.80043332
8,10973854.80043332
9,11077574.593042722
10,11121867.721844826
11,11263477.661925262
12,11263477.661925262
13,11280528.733694999
14,11294048.199062722
15,11298866.407443494
16,11330612.304793788
17,11374760.132993622
18,11384517.686241446
19,11421196.691435289
20,11445438.19103837
21,11506938.845691437
22,11511490.116514998
23,11558219.92954231
24,11558219.92954231
25,11558219.92954231
26,11559172.381366666
27,11695943.289159233
28,11695943.289159233
29,11860277.927850833
30,11936413.764934726
31,11936413.764934726
32,11981891.839643262
33,11981891.839643262
34,12008132.398144113
35,12008132.398144113
36,12029651.51887912
37,12098138.913881375
38,12112386.290967679
39,12117304.557723047
40,12128397.989747485
41,12135841.675108409
42,12135841.675108409
43,12153209.959173886
44,12159110.064487807
45,12159110.064487807
46,12172620.520300847
47,12204855.942008274
48,12206440.175207525
49,12228658.97556599
50,12229616.926200889
51,12247148.861654775
52,12247148.861654775
53,12310855.371984111
54,12310855.371984111
55,12359580.157980986
56,12368863.861421172
57,12412181.492845165
58,12458760.181038866
59,12478397.831779506
60,12491917.62329614
61,12494932.931146005
62,12506888.087874059
63,12515505.055660209
64,12522577.726548098
65,12534481.340660032
66,12536801.782370055
67,12540750.076391023
68,12565908.912032697
69,12568303.069596827
70,12572179.676798249
71,12572179.676798249
72,12574608.38927353
73,12575427.781754866
74,12580323.661894398
75,12581029.13475436
76,12587703.790355379
77,12598291.9870313
78,12664921.809508057
79,12671699.03510415
80,12724331.458132269
81,12724331.458132269
82,12728614.400317827
83,12767964.038349573
84,12770655.81326263
85,12788253.530243108
86,12788253.530243108
87,12810603.860023225
88,12836849.73393352
89,12856424.484924503
90,12877503.431441624
91,12903091.92468833
92,12903091.92468833
93,12912638.895415707
94,12928543.056849996
95,12942918.472375978
96,12944681.156685647
97,12948889.720899154
98,12959186.895527128
99,12968646.126078203
100,12979163.615557706
101,12979163.615557706
102,12986063.569899011
103,12986063.569899011
104,13081406.51478663
105,13094359.39221742
106,13122867.967079403
107,13139494.937274558
108,13185366.370787432
109,13185366.370787432
110,13189161.305547472
111,13196121.18199008
112,13196187.839456663
113,13199548.315137854
114,13200898.7002552
115,13206335.889287304
116,13215202.600052726
117,13222426.019996341
118,13224965.389647996
119,13237541.391706852
120,13249259.409000745
121,13251202.131961359
122,13253317.233656557
123,13255881.963387262
124,13259035.39074911
125,13262526.431750333
126,13262526.431750333
127,13265542.707000861
128,13298062.957426725
129,13329034.246797062
130,13329058.56932896
131,13411750.964572486
132,13416181.527308533
133,13420946.402017111
134,13430759.532236734
135,13431027.05582411
136,13431027.05582411
137,13457030.7736048
138,13457030.7736048
139,13459859.42826341
140,13460491.553282078
141,13466780.90366669
142,13480174.694495317
143,13481351.408157017
144,13494004.619291963
145,13495997.521886477
146,13499141.832654951
147,13503726.464060212
148,13503726.464060212
149,13507246.608418042
150,13512372.039708946
151,13523927.920396486
152,13524169.989994673
153,13576697.575639289
154,13672673.003908264
155,13672673.003908264
156,13672673.003908264
157,13675731.986553758
158,13717150.897105765
159,13739212.22109296
160,13791485.521983322
161,13791485.521983322
162,13791485.521983322
163,13803260.986300955
164,13808855.441059662
165,13816024.368848326
166,13817116.964411717
167,13819579.979190925
168,13828412.83814877
169,13828412.83814877
170,13833113.57545279
171,13834374.169081856
172,13841145.387972463
173,13841145.387972463
174,13841204.314956985
175,13843675.844825022
176,13844959.438149724
177,13844959.438149724
178,13932777.660911338
179,13982651.76569651
180,14006210.768260488
181,14008981.294447575
182,14078244.03363458
183,14078244.03363458
184,14123011.769927643
185,14123011.769927643
186,14142387.656141635
187,14142387.656141635
188,14152154.629480293
189,14152154.629480293
190,14155578.182185965
191,14157733.961752325
192,14160875.697148042
193,14164296.66621544
194,14168362.627168275
195,14184308.682463465
196,14184308.682463465
197,14189405.491693882
198,14189405.491693882
199,14193223.585371101
